t,dayofweek,weekend,y,y_t_1
2,2,0,8.487391304347826,9.604730769230768
3,3,0,9.420588235294119,8.487391304347826
4,4,0,12.059000000000001,9.420588235294119
5,5,0,7.5223125,12.059000000000001
6,6,1,11.076869565217391,7.5223125
7,0,1,5.939125,11.076869565217391
8,1,0,8.620866666666666,5.939125
9,2,0,9.044878787878787,8.620866666666666
10,3,0,8.880969696969697,9.044878787878787
11,4,0,8.115124999999999,8.880969696969697
12,5,0,7.699058823529411,8.115124999999999
13,6,1,7.557212121212121,7.699058823529411
14,0,1,11.37775,7.557212121212121
15,1,0,11.78752380952381,11.37775
16,2,0,7.955703703703704,11.78752380952381
17,3,0,8.858780487804877,7.955703703703704
18,4,0,11.0,8.858780487804877
19,5,0,11.738228571428571,11.0
20,6,1,7.026692307692307,11.738228571428571
21,0,1,7.767269230769231,7.026692307692307
22,1,0,7.669882352941177,7.767269230769231
23,2,0,8.377617647058823,7.669882352941177
24,3,0,8.66909677419355,8.377617647058823
25,4,0,6.9538529411764705,8.66909677419355
26,5,0,8.825,6.9538529411764705
27,6,1,9.419821428571428,8.825
28,0,1,9.982818181818182,9.419821428571428
29,1,0,9.642333333333333,9.982818181818182
30,2,0,10.550411764705883,9.642333333333333
31,3,0,9.717307692307692,10.550411764705883
1,4,0,9.319833333333333,9.717307692307692
2,5,0,7.292777777777778,9.319833333333333
3,6,1,8.67325925925926,7.292777777777778
4,0,1,11.579125,8.67325925925926
5,1,0,8.532222222222222,11.579125
6,2,0,6.508590909090909,8.532222222222222
7,3,0,8.871361111111112,6.508590909090909
8,4,0,8.428787878787878,8.871361111111112
9,5,0,9.806068965517241,8.428787878787878
10,6,1,7.17625,9.806068965517241
11,0,1,8.699458333333334,7.17625
12,1,0,9.75396,8.699458333333334
13,2,0,9.974807692307694,9.75396
14,3,0,6.42525,9.974807692307694
15,4,0,8.493355555555556,6.42525
16,5,0,9.691757575757576,8.493355555555556
17,6,1,7.302300000000001,9.691757575757576
18,0,1,11.548421052631578,7.302300000000001
19,1,0,8.00225,11.548421052631578
20,2,0,8.987176470588237,8.00225
21,3,0,8.115891304347826,8.987176470588237
22,4,0,8.057704545454545,8.115891304347826
23,5,0,8.164666666666667,8.057704545454545
24,6,1,7.925666666666666,8.164666666666667
25,0,1,10.431608695652173,7.925666666666666
26,1,0,11.33314705882353,10.431608695652173
27,2,0,10.083411764705883,11.33314705882353
28,3,0,6.388121951219513,10.083411764705883
29,4,0,7.094928571428572,6.388121951219513
30,5,0,9.405999999999999,7.094928571428572
31,6,1,10.9969,9.405999999999999
1,0,1,7.99775,10.9969
2,1,0,8.973590909090909,7.99775
3,2,0,8.842161290322581,8.973590909090909
4,3,0,9.92396875,8.842161290322581
5,4,0,7.591029411764707,9.92396875
6,5,0,8.719974358974358,7.591029411764707
7,6,1,9.637807692307693,8.719974358974358
8,0,1,8.434571428571429,9.637807692307693
9,1,0,7.678588235294118,8.434571428571429
10,2,0,9.677000000000001,7.678588235294118
11,3,0,8.68639393939394,9.677000000000001
12,4,0,7.213363636363637,8.68639393939394
13,5,0,7.953357142857143,7.213363636363637
14,6,1,9.5813,7.953357142857143
15,0,1,9.799041666666666,9.5813
16,1,0,12.161111111111111,9.799041666666666
17,2,0,9.19274074074074,12.161111111111111
18,3,0,8.187305555555556,9.19274074074074
19,4,0,7.445057142857142,8.187305555555556
20,5,0,9.520029411764705,7.445057142857142
21,6,1,8.1773,9.520029411764705
22,0,1,9.549666666666667,8.1773
23,1,0,8.502483870967742,9.549666666666667
24,2,0,9.219909090909091,8.502483870967742
25,3,0,9.068724137931035,9.219909090909091
26,4,0,6.9855833333333335,9.068724137931035
27,5,0,9.10216129032258,6.9855833333333335
28,6,1,5.6463636363636365,9.10216129032258
29,0,1,8.033000000000001,5.6463636363636365
30,1,0,8.51096,8.033000000000001
1,2,0,6.9863,8.51096
2,3,0,10.283774193548387,6.9863
3,4,0,9.786866666666667,10.283774193548387
4,5,0,9.99320588235294,9.786866666666667
5,6,1,6.2058620689655175,9.99320588235294
6,0,1,9.550736842105263,6.2058620689655175
7,1,0,11.270178571428572,9.550736842105263
8,2,0,7.065130434782608,11.270178571428572
9,3,0,8.254090909090909,7.065130434782608
10,4,0,7.29825,8.254090909090909
11,5,0,9.219738095238094,7.29825
12,6,1,9.111761904761906,9.219738095238094
13,0,1,7.534864864864866,9.111761904761906
14,1,0,11.147923076923076,7.534864864864866
15,2,0,9.32516,11.147923076923076
16,3,0,8.85662962962963,9.32516
17,4,0,7.60664,8.85662962962963
18,5,0,10.3139,7.60664
19,6,1,8.24984375,10.3139
20,0,1,8.978235294117647,8.24984375
21,1,0,12.983799999999999,8.978235294117647
22,2,0,8.629818181818182,12.983799999999999
23,3,0,9.721135135135135,8.629818181818182
24,4,0,8.934483870967743,9.721135135135135
25,5,0,8.801933333333332,8.934483870967743
26,6,1,8.191548387096773,8.801933333333332
27,0,1,11.248999999999999,8.191548387096773
28,1,0,8.554375,11.248999999999999
29,2,0,10.759,8.554375
30,3,0,8.664,10.759
31,4,0,8.943545454545454,8.664
1,5,0,11.274955555555556,8.943545454545454
2,6,1,7.254148148148148,11.274955555555556
3,0,1,8.437545454545456,7.254148148148148
4,1,0,11.988088235294116,8.437545454545456
5,2,0,10.391870967741935,11.988088235294116
6,3,0,12.79521875,10.391870967741935
7,4,0,8.286461538461538,12.79521875
8,5,0,9.778307692307692,8.286461538461538
9,6,1,6.918388888888889,9.778307692307692
10,0,1,9.83692,6.918388888888889
11,1,0,6.852,9.83692
12,2,0,8.106219512195123,6.852
13,3,0,6.525931034482759,8.106219512195123
14,4,0,8.75228125,6.525931034482759
15,5,0,7.943384615384616,8.75228125
16,6,1,6.074238095238095,7.943384615384616
17,0,1,7.0483529411764705,6.074238095238095
18,1,0,12.21904,7.0483529411764705
19,2,0,9.562,12.21904
20,3,0,9.083275862068966,9.562
21,4,0,8.436454545454547,9.083275862068966
22,5,0,10.862333333333334,8.436454545454547
23,6,1,8.520756756756757,10.862333333333334
24,0,1,8.528478260869566,8.520756756756757
25,1,0,10.586227272727273,8.528478260869566
26,2,0,16.875,10.586227272727273
27,3,0,9.743263157894738,16.875
28,4,0,5.558999999999999,9.743263157894738
29,5,0,9.306,5.558999999999999
30,6,1,5.680714285714286,9.306
1,0,1,12.08278947368421,5.680714285714286
2,1,0,10.429761904761905,12.08278947368421
3,2,0,8.698571428571428,10.429761904761905
4,3,0,8.764131578947367,8.698571428571428
5,4,0,9.7665,8.764131578947367
6,5,0,9.26428947368421,9.7665
7,6,1,8.118194444444445,9.26428947368421
8,0,1,8.784875,8.118194444444445
9,1,0,8.9368125,8.784875
10,2,0,9.4891875,8.9368125
11,3,0,11.044382352941177,9.4891875
12,4,0,7.018272727272727,11.044382352941177
13,5,0,11.17792105263158,7.018272727272727
14,6,1,8.136310344827587,11.17792105263158
15,0,1,14.155095238095239,8.136310344827587
16,1,0,8.018935483870967,14.155095238095239
17,2,0,9.956075,8.018935483870967
18,3,0,8.702055555555555,9.956075
19,4,0,9.64596875,8.702055555555555
20,5,0,8.917399999999999,9.64596875
21,6,1,7.542466666666667,8.917399999999999
22,0,1,10.540695652173913,7.542466666666667
